ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
915189,978-5-389-13954-1,Роулинг Дж. К.,А0000014895,,23.01.2018,485 гр.,11 +,2018,,Махаон; Азбука-Аттикус,,,915189,Москва,,Гарри Поттер и Проклятое дитя. Финальная версия сценария. В 2 частях.,True,https://www.moscowbooks.ru/image/book/590/w259/i590954.jpg,,"волшебство, магия, сценарий, волшебный мир",Спивак М.,,200x130,0,,480,Твердый переплет,20000 экз.,,84х108 1/32,,493 руб.,английский,русский
916062,978-5-17-106575-1,Достоевский Ф. М.,ASE000000000834418,,31.01.2018,200 гр.,,2018,,АСТ,,,916062,Москва,,Белые ночи.,True,https://www.moscowbooks.ru/image/book/591/w259/i591957.jpg,,"В этот сборник вошли две ранние повести Достоевского — ""Белые ночи"" и ""Неточка Незванова"", которые считаются самыми поэтичными произведениями великого романиста.""Белые ночи"" — одно из лучших произведений школы ""сентиментального натурализма"", по мнению критика Аполлона Григорьева. Это лирическая исповедь героя-мечтателя, одинокого и робкого человека, в жизни которого на какое-то время появляется девушка, а вместе с ней и надежда на более светлое будущее.""Неточка Незванова"" — повесть, изначально задуманная автором как роман, где в основе сюжета лежит история жизни маленькой девочки. Неточка — тоже персонаж-мечтатель, она грезит о жизни в большом красивом особняке, который видит из окна каморки на чердаке. Но, очутившись в нем, Неточка сталкивается с действительностью, которая оказалась вовсе не так прекрасна...",,,180x115,0,,320,Мягкая обложка,5000 экз.,,76х100 1/32,,144 руб.,,русский
922260,978-5-00111-315-7,Хантер Э.,200446,,26.03.2018,385 гр.,11 +,2018,,Абрис,Насыров Леонид Хамидович,,922260,Москва,,Звездная тропа.,True,https://www.moscowbooks.ru/image/book/597/w259/i597273.jpg,,"После долгих лун обсуждений и споров коты расселились по пяти лагерям. Однако вместо долгожданного мира их подстерегают новые опасности сезона Голых Деревьев. Кроме того, коварный бродяга Шрам, похитивший Звёздного Цветка, требует от лесных предводителей части их добычи. Чистое Небо всеми силами пытается спасти подругу, и в этом нелёгком деле ему требуется помощь Грома, Длинной Тени, Обгоняющей Ветер, Зыбкой Реки и их товарищей. Вожаки, опасающиеся за благополучие своих лагерей, вскоре понимают, что победить Шрама и его банду можно только общими усилиями, ведь на кону стоит судьба всех лесных котов.",Максимова В.,,200x130,0,,382,Твердый переплет,7000 экз.,,84х108 1/32,,312 руб.,английский,русский
922627,978-5-389-14380-7,Достоевский Ф. М.,А0000015458,,29.03.2018,1105 гр.,,2018,,Азбука; Азбука-Аттикус,,,922627,СПб,,Преступление и наказание. Идиот.,True,https://www.moscowbooks.ru/image/book/597/w259/i597630.jpg,,"Романы «Преступление и наказание», «Идиот», наряду с «Бесами» «Подростком» и «Братьями Карамазовыми», входят в так называемое «пятикнижие» Ф. М. Достоевского: их роль в мировой литературе сравнивают по значимости с первыми пятью книгами Библии — Пятикнижием Моисея. Глубоко социальные и в тоже время трактующие о фундаментальных вопросах бытия, эти романы во многом изменили наши представления о возможностях литературы и природе человека. Первым из этих великих произведений Достоевского стал роман «Преступление и наказание» (1866). Он был задуман как «психологический отчет одного преступления», однако писатель далеко отступил от первоначальных планов, заставив читателя размышлять о грехе и искуплении, о границах дозволенного, о духовной смерти и воскресении. Основную идею романа «Идиот» (1868) Достоевский сформулировал так: «…Изобразить положительно прекрасного человека. Труднее этого нет ничего на свете, а особенно теперь». «Князь-Христос» выходит на проповедь, и в его слова Достоевский вкладывает свои заветные мысли о русской душе и вере.",,,215x145,0,,1120,Твердый переплет,4000 экз.,,60х90 1/16,,558 руб.,,русский
925078,978-5-93898-647-3,Достоевский Ф. М.,,,18.04.2018,1375 гр.,,2018,,,,,925078,СПб,,Малая проза. Книга 1. Слабое сердце. Чужая жена и муж под кроватью,True,https://www.moscowbooks.ru/image/book/599/w259/i599714.jpg,,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821-1881) включает произведения 1840-1850-х годов.Повесть ""Слабое сердце"" — странная и грустная история с почти мистическим финалом, одна из важных составляющих ""петербургского текста"" Достоевского. В Петербурге происходит и действие рассказа ""Чужая жена и муж под кроватью"", наполненного юмором и воспринимающегося как водевиль. Но и в этом комическом произведении писатель разрабатывает одну из своих стержневых тем, которую он впоследствии определит как ""сокровеннейшие тайны чиновничьей души"". Рассказ ""Маленький герой"" содержит автобиографические мотивы. Он повествует о пробуждении чувства любви в сердце одиннадцатилетнего подростка. ""Дядюшкин сон"" — первое произведение, написанное Достоевским после каторги, в нем ощущается гоголевская традиция. Сюжетную коллизию этой повести составляет колоритный эпизод из жизни маленького городка в российской глубинке.Тексты сопровождаются статьей и комментариями известного специалиста по творчеству Достоевского Б. Н. Тихомирова и иллюстрациями А. А. Джигирей, созданными специально для настоящего издания. Это первая книга из задуманного издательством ""Вита Нова"" трехчастного собрания повестей и рассказов Достоевского разных лет (составитель - Б. Н. Тихомиров).",,,240x170,0,,472,Твердый переплет,800 экз.,,70х100 1/16,,4880 руб.,,русский
925570,978-5-905909-97-9,"Стругацкий А. Н., Стругацкий Б. Н.",978-5-905909-97-9,,23.04.2018,840 гр.,,2017,,Издательство Сидорович,,,925570,СПб,,Полное собрание сочинений. Том 6. 1962.,True,https://www.moscowbooks.ru/image/book/600/w259/i600164.jpg,,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",,,200x130,0,,720,Твердый переплет (ткань),350 экз.,,84х108 1/32,,3170 руб.,,русский
925571,978-5-905909-99-3,"Стругацкий А. Н., Стругацкий Б. Н.",978-5-905909-99-3,,23.04.2018,700 гр.,,2017,,Издательство Сидорович,,,925571,СПб,,Полное собрание сочинений. Том 7. 1963.,True,https://www.moscowbooks.ru/image/book/600/w259/i600165.jpg,,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",,,200x130,0,,576,Твердый переплет (ткань),350 экз.,,84х108 1/32,,3170 руб.,,русский
926010,978-5-93898-647-3,Достоевский Ф. М.,,Мелованная,26.04.2018,1375 гр.,,2018,,,,,926010,СПб,,Малая проза. Книга 1. Слабое сердце. Чужая жена и муж под кроватью,True,https://www.moscowbooks.ru/image/book/600/w259/i600541.jpg,Золотой,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821-1881) включает произведения 1840-1850-х годов.Повесть ""Слабое сердце"" — странная и грустная история с почти мистическим финалом, одна из важных составляющих ""петербургского текста"" Достоевского. В Петербурге происходит и действие рассказа ""Чужая жена и муж под кроватью"", наполненного юмором и воспринимающегося как водевиль. Но и в этом комическом произведении писатель разрабатывает одну из своих стержневых тем, которую он впоследствии определит как ""сокровеннейшие тайны чиновничьей души"". Рассказ ""Маленький герой"" содержит автобиографические мотивы. Он повествует о пробуждении чувства любви в сердце одиннадцатилетнего подростка. ""Дядюшкин сон"" — первое произведение, написанное Достоевским после каторги, в нем ощущается гоголевская традиция. Сюжетную коллизию этой повести составляет колоритный эпизод из жизни маленького городка в российской глубинке.Тексты сопровождаются статьей и комментариями известного специалиста по творчеству Достоевского Б. Н. Тихомирова и иллюстрациями А. А. Джигирей, созданными специально для настоящего издания. Это первая книга из задуманного издательством ""Вита Нова"" трехчастного собрания повестей и рассказов Достоевского разных лет (составитель — Б. Н. Тихомиров).Нумерованный экземляр, содержит авторскую литографию.",,,240x170,0,,472,Твердый переплет,800 экз.,,70х100 1/16,Вставной,18900 руб.,,русский
927531,978-5-17-107192-9,Лукьяненко С. В.,ASE000000000835057,,11.05.2018,375 гр.,,2018,,АСТ,,,927531,Москва,,Чистовик.,True,https://www.moscowbooks.ru/image/book/601/w259/i601789.jpg,,"иные миры, портал, веерные миры",,,200x130,0,,352,Твердый переплет,8000 экз.,,84х108 1/32,,360 руб.,,русский
927535,978-5-17-107190-5,Лукьяненко С. В.,ASE000000000835056,,11.05.2018,375 гр.,,2018,,АСТ,,,927535,Москва,,Черновик.,True,https://www.moscowbooks.ru/image/book/601/w259/i601787.jpg,,"экранизация, иные миры, портал, веерные миры",,,200x130,0,,352,Твердый переплет,17000 экз.,,84х108 1/32,,320 руб.,,русский
928578,978-5-00111-358-4,Хантер Э.,204237,,21.05.2018,355 гр.,11 +,2018,,Абрис,,,928578,Москва,,Беглянка. Сны и видения Бабочки.,True,https://www.moscowbooks.ru/image/book/602/w259/i602822.jpg,,"Выполняя наказ Сверкающей Звезды, пять племён, как пять лепестков, разошлись в разные стороны, обустроили свои территории и зажили своим укладом. Однако им по-прежнему чего-то недостаёт. Племена, как и цветок, нуждаются в соединяющей их воедино сердцевине. Найти её и открыть племенам путь к звёздам суждено юной кошке из племени Ветра.Маленькая Бабочка тяжело переживает свою бесполезность. Кошка беспечна, рассеянна и постоянно обо всём забывает. После очередной ссоры с матерью она в слезах покидает родное племя, не ведая о том, что дорога скитаний приведёт её к будущему предназначению. Это бегство обернётся путём, на котором Бабочке предстоит узнать свою судьбу и найти любовь всей жизни. Окрылённая надеждой, она возвращается домой, даже не подозревая, какую страшную цену ей придётся заплатить за свою избранность...""Беглянка"" — первая книга спецтома-дилогии ""Сны и видения Бабочки"".",Максимова В. А.,,200x130,0,,317,Твердый переплет,7000 экз.,,84х108 1/32,,312 руб.,английский,русский
929118,978-5-389-14766-9,Фицджеральд Ф. С.,А0000016141,,24.05.2018,975 гр.,,2018,,Иностранка; Азбука-Аттикус,,,929118,Москва,,Красавицы и джентльмены. Истории беспечной жизни.,True,https://www.moscowbooks.ru/image/book/603/w259/i603263.jpg,,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". В предлагаемую вашему вниманию книгу включен последний авторский сборник знаменитого мастера ""Сигнал побудки"", поздние рассказы, опубликованные уже под занавес жизни Фицджеральда в журнале ""Эсквайр"" (в том числе полный цикл юмористических историй о неудачливом голливудском сценаристе Пэте Хобби), ранние рассказы, выпущенные молодым Фицджеральдом в журналах Принстонского университета, и другие истории от признанного мастера тонкого психологизма.",Архангельская И.,,215x145,0,,960,Твердый переплет,3000 экз.,,60х90 1/16,,558 руб.,английский,русский
931093,978-5-86547-448-7,Достоевский Ф. М.,,,08.06.2018,215 гр.,,2008,,Златоуст,,,931093,СПб,,Идиот. Уровень 4.,True,https://www.moscowbooks.ru/image/book/233/w259/i233602.jpg,,"Предлагаем вашему вниманию книгу из серии ""Библиотека златоуста"". Серия включает адаптированные тексты 5 уровней владения русским языком: произведения классиков русской литературы, современных писателей, публицистов, журналистов, а также киносценарии. Уровни ориентируются на лексические минимумы, разработанные для Российской государственной системы тестирования по русскому языку.",,,215x145,0,,180,Мягкая обложка,1000 экз.,,60х90 1/16,,409 руб.,,русский
931513,978-5-906044-41-9,Достоевский Ф. М.,,,14.06.2018,40 гр.,,2017,,ТомСувенир,,,931513,Томск,,Бобок.,True,https://www.moscowbooks.ru/image/book/605/w259/i605231.jpg,,"""Бобок"" — фантастический рассказ Фёдора Достоевского, опубликованный в составе ""Дневника писателя"" в феврале 1873 года в газете ""Гражданин"".",Garnett C.,,,0,,176,Твердый переплет+суперобложка,250 экз.,,62х94 1/128,,336 руб.,русский,русский/английский
932066,978-5-17-109282-5,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000837123,,19.06.2018,295 гр.,,2018,,АСТ,,,932066,Москва,,Обитаемый остров.,True,https://www.moscowbooks.ru/image/book/605/w259/i605713.jpg,,"Планета, на которой терпит крушение корабль Максима Каммерера, поражает его воображение: последствия ядерного конфликта, психообработка населения, постоянное ""эхо войны"", жесточайшая диктатура… Видя многочисленные примеры дикости и несправедливости, Максим, выросший в коммунистическом мире, решает исправить все уродства государственного строя планеты Саракш.",,,180x115,0,,480,Мягкая обложка,7000 экз.,,76х100 1/32,,208 руб.,,русский
932375,978-5-17-109040-1,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000837102,,21.06.2018,600 гр.,,2018,,АСТ,,,932375,Москва,,Собрание сочинений. 1960-1962. Том 2.,True,https://www.moscowbooks.ru/image/book/605/w259/i605966.jpg,,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели–фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей.В этот том вошли ""Стажеры"", ""Полдень, ХII век"", ""В наше интересное время"".",,,215x145,0,,544,Твердый переплет,3500 экз.,,60х90 1/16,,647 руб.,,русский
932433,978-5-17-108973-3,Фрай М.,ASE000000000835457,,22.06.2018,400 гр.,,2018,,АСТ,,,932433,Москва,,Мертвый ноль.,True,https://www.moscowbooks.ru/image/book/606/w259/i606053.jpg,,"Мертвый ноль — это такой специальный заколдованный ноль, к которому ничего нельзя прибавить. Ни на каких условиях. Никогда. Квинтэссенция небытия.Эта книга была написана для того, чтобы уменьшить количество мертвых нулей во Вселенной. Ну и по ходу дела мы, как это обычно случается, несколько увлеклись, погорячились, можно сказать, перестарались. Поэтому мертвых нулей во Вселенной не осталось совсем. Но вряд ли о них кто-то заплачет. Не надо нам здесь этого вашего глупого небытия.",,,200x130,0,,448,Твердый переплет,30000 экз.,,84х108 1/32,,400 руб.,,русский
934124,978-5-905909-38-2,"Стругацкий А. Н., Стругацкий Б. Н.",978-5-905909-38-2,,13.07.2018,795 гр.,,2018,,Издательство Сидорович,,,934124,СПб,,Полное собрание сочинений в 33 томах. Том 8. 1964.,True,https://www.moscowbooks.ru/image/book/607/w259/i607483.jpg,,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",,,200x130,0,,656,Твердый переплет (ткань),350 экз.,,84х108 1/32,,3000 руб.,,русский
934125,978-5-905909-39-9,"Стругацкий А. Н., Стругацкий Б. Н.",978-5-905909-39-9,,13.07.2018,810 гр.,,2018,,Издательство Сидорович,,,934125,СПб,,Полное собрание сочинений в 33 томах. Том 9. 1965.,True,https://www.moscowbooks.ru/image/book/607/w259/i607486.jpg,,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",,,200x130,0,,670,Твердый переплет (ткань),350 экз.,,84х108 1/32,,3000 руб.,,русский
934155,978-5-699-57881-8,Роллинс Дж.,ITD000000000203746,,13.07.2018,295 гр.,,2018,,Эксмо,,,934155,Москва,,Ключ Судного дня.,True,https://www.moscowbooks.ru/image/book/607/w259/i607493.jpg,,"В Риме в соборе Святого Петра погибает от взрыва археолог из Ватикана. Перед смертью он успевает спрятать среди реликвий собора древний кожаный мешочек, в котором, как он надеется, заключено спасение человечества... В лаборатории Принстонского университета убит известный ученый-генетик... В Африке в лагере Красного Креста застрелен сын американского сенатора... Три убийства на трех континентах, и все три жертвы помечены выжженным на их плоти древним друидическим крестом. Коммандеру Грею Пирсону и его соратникам из спецотряда ""Сигма"" предстоит выяснить, что связывало этих людей, и попытаться спасти человечество от приближающегося Армагеддона.",Саксина С. М.,,165x120,0,,640,Мягкая обложка,4000 экз.,,70х100 1/32,,184 руб.,английский,русский
935236,978-5-17-107262-9,Фицджеральд Ф. С.,ASE000000000835127,,25.07.2018,240 гр.,,2018,,АСТ,,,935236,Москва,,Великий Гэтсби = The Great Gatsby + аудиоприложение LECTA.,True,https://www.moscowbooks.ru/image/book/608/w259/i608541.jpg,,"Аннотация к книге ""Великий Гэтсби = The Great Gatsby + аудиоприложение LECTA"" Фицджеральд Ф. С.:Перед вами вершина творчества американского писателя Ф.С. Фицджеральда — роман ""Великий Гэтсби"". Текст произведения адаптирован и снабжен параллельным переводом на русский язык. Для проверки понимания прочитанного в книге даны упражнения с ответами и англо-русский словарь.Английский текст полностью озвучен носителями языка и бесплатно доступен для прослушивания на сайте российской цифровой образовательной платформы LECTA (lecta.ru).Пособие адресовано всем, кто изучает английский язык и хочет читать литературу на языке оригинала.",Матвеева С.,,215x145,0,,256,Мягкая обложка,2000 экз.,,60х90 1/16,,248 руб.,,русский/английский
935707,978-5-389-14778-2,Роулинг Дж. К.,А0000016165,,31.07.2018,575 гр.,11 +,2018,,Махаон; Азбука-Аттикус,,,935707,Москва,,Гарри Поттер и Тайная комната.,True,https://www.moscowbooks.ru/image/book/608/w259/i608947.jpg,,"Специальное издание для учеников и выпускников ""Гриффиндора"" к 20-летию первой публикации книги ""Гарри Поттер и Тайная комната"".",Спивак М.,,200x130,0,,496,Твердый переплет с окрашенным обрезом+суперобложка,5000 экз.,,84х108 1/32,,656 руб.,английский,русский
936778,978-5-17-110023-0,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000838090,,10.08.2018,705 гр.,,2018,,АСТ,,,936778,Москва,,Собрание сочинений. 1961-1963. Том 3.,True,https://www.moscowbooks.ru/image/book/609/w259/i609798.jpg,,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей.В этот том вошли ""Попытка к бегству"", ""Далекая Радуга"", ""Трудно быть богом"", ""Понедельник начинается в субботу"" и избранные рассказы.",,,215x145x44,0,,640,Твердый переплет,3500 экз.,,60х90 1/16,,690 руб.,,русский
936898,978-5-17-108501-8,Фицджеральд Ф. С.,ASE000000000836520,,11.08.2018,270 гр.,,2018,,АСТ,,,936898,Москва,,Ночь нежна.,True,https://www.moscowbooks.ru/image/book/609/w259/i609901.jpg,,"Один из лучших способов учить иностранный язык — это читать художественное произведение, постепенно овладевая лексикой и грамматикой.Предлагаем учить английский язык вместе с романом Ф. С. Фицджеральда ""Ночь нежна"". Адаптированный текст произведения снабжен подробным лексико-грамматическим комментарием, расположенным на полях, напротив комментируемого места, с отсылками на соответствующее правило грамматики. Грамматический справочник следует сразу за романом. Материал в справочнике соответствует уровню выше среднего, поэтому им можно успешно пользоваться и в дальнейшем.Для удобства изучающих язык в конце книги помещен англо-русский словарик.Книга предназначена для всех, кто начал и продолжает учить английский язык, кто стремится читать книги на английском.",,,200x137x25,0,,320,Мягкая обложка,2000 экз.,,60х84 1/16,,224 руб.,,английский/русский
937954,,Достоевский Ф. М.,978-5-389-14380-7,Офсетная,21.08.2018,1220 гр.,,2018,,,,,937954,СПб,,Преступление и наказание. Идиот,True,https://www.moscowbooks.ru/image/book/610/w259/i610742.jpg,Рисованный,"Романы «Преступление и наказание», «Идиот», наряду с «Бесами» «Подростком» и «Братьями Карамазовыми», входят в так называемое «пятикнижие» Ф. М. Достоевского: их роль в мировой литературе сравнивают по значимости с первыми пятью книгами Библии — Пятикнижием Моисея. Глубоко социальные и в тоже время трактующие о фундаментальных вопросах бытия, эти романы во многом изменили наши представления о возможностях литературы и природе человека. Первым из этих великих произведений Достоевского стал роман «Преступление и наказание» (1866). Он был задуман как «психологический отчет одного преступления», однако писатель далеко отступил от первоначальных планов, заставив читателя размышлять о грехе и искуплении, о границах дозволенного, о духовной смерти и воскресении. Основную идею романа «Идиот» (1868) Достоевский сформулировал так: «…Изобразить положительно прекрасного человека. Труднее этого нет ничего на свете, а особенно теперь». «Князь-Христос» выходит на проповедь, и в его слова Достоевский вкладывает свои заветные мысли о русской душе и вере.Ограниченный тираж.",,,215x145x50,0,,1120,Кожаный переплет,,Углубленное тиснение (красочное плоскоуглубленное изображение),60х90 1/16,,6318 руб.,,русский
939085,978-5-04-096626-4,Фицджеральд Ф. С.,ITD000000000918479,,28.08.2018,485 гр.,,2018,,Эксмо,,,939085,Москва,,Я за тебя умру.,True,https://www.moscowbooks.ru/image/book/611/w259/i611786.jpg,,"Уже первый роман Фицджеральда ""По эту сторону рая"" был назван манифестом поколения. Следом были написаны ""Великий Гэтсби"" и ""Ночь нежна"", которые сделали писателя голосом джазовой эпохи. Он стал успешным и популярным. Потом были Великая депрессия и болезнь жены, поденная работа на голливудских киностудиях. Любой бы сломался при таких обстоятельствах. А Фицджеральд искал новые темы, заходил на спорные территории, экспериментировал со стилем. Он боролся за публикации своих новых вещей. Он искал себя в сценариях к фильмам, которые так и не были поставлены. Он спорил с редакторами, отстаивая свою позицию. Вместо того чтобы сглаживать новизну и идти на поводу у чужого вкуса, гений Фицджеральда предпочел остаться верным себе, тем, кем он был всегда, — голосом своего поколения, блестящим рассказчиком, великолепным стилистом.",Голышев В.; Бабков В.,,206x128x29,0,,544,Твердый переплет,7000 экз.,,84х108 1/32,,470 руб.,английский,русский
940483,978-5-907097-05-6,Фицджеральд Ф. С.,2256888,,06.09.2018,85 гр.,,2018,,Антология,,,940483,СПб,,Curious Case of Benjamin Button. B1.,True,https://www.moscowbooks.ru/image/book/612/w259/i612656.jpg,,"""Загадочная история Бенджамина Баттона"" — один из самых известных фантастических рассказов Фрэнсиса Скотта Фицджеральда, которые он называл ""сказками века джаза"": человек родился 70-летним и прожил жизнь наоборот, пройдя путь от старика до младенца. О замысле этого необычного произведения автор писал так: ""Идея сюжета родилась из замечания Марка Твена о том, как жаль, что лучшая часть жизни проходит ближе к началу, а худшая — ближе к концу. Мой эксперимент всего лишь над одним человеком в самом обычном мире едва ли смог в полной мере воздать должное этой идее"".В книгу также вошли рассказы в стиле ""сказок века джаза"" ""Первое мая"" и ""О, рыжая ведьма!"".Текст сокращён и адаптирован. Уровень B1.",,,120x125x10,0,,128,Мягкая обложка,,,84х108 1/32,,144 руб.,,русский
